text,filename,label
"From: irwin@cmptrc.lonestar.org (Irwin Arnstein)
Subject: Re: Recommendation on Duc
Summary: What's it worth?
Distribution: usa
Expires: Sat, 1 May 1993 05:00:00 GMT
Organization: CompuTrac Inc., Richardson TX
Keywords: Ducati, GTS, How much? 
Lines: 13

I have a line on a Ducati 900GTS 1978 model with 17k on the clock.  Runs
very well, paint is the bronze/brown/orange faded out, leaks a bit of oil
and pops out of 1st with hard accel.  The shop will fix trans and oil 
leak.  They sold the bike to the 1 and only owner.  They want $3495, and
I am thinking more like $3K.  Any opinions out there?  Please email me.
Thanks.  It would be a nice stable mate to the Beemer.  Then I'll get
a jap bike and call myself Axis Motors!

-- 
-----------------------------------------------------------------------
""Tuba"" (Irwin)      ""I honk therefore I am""     CompuTrac-Richardson,Tx
irwin@cmptrc.lonestar.org    DoD #0826          (R75/6)
-----------------------------------------------------------------------
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/rec.motorcycles/104091,rec.motorcycles
"From: david@terminus.ericsson.se (David Bold)
Subject: Re: Question for those with popular morality
Reply-To: david@terminus.ericsson.se
Distribution: world
Organization: Camtec Electronics (Ericsson), Leicester, England
Lines: 77
Nntp-Posting-Host: bangkok

In article 17570@freenet.carleton.ca, ad354@Freenet.carleton.ca (James Owens) writes:
>
>In a previous article, david@terminus.ericsson.se (David Bold) says:
>
>>
>>I don't mean to be rude, but I think that you've got hold of the wrong
>>end of a different stick...
>>
>>David
>
>I had a look at your posting again and I see what you mean!  I was so
>intent on explaining how Jung thought we could be more moral than God that
>I overlooked your main line of thought.
>
>You seem to be saying that, God being unknowable, His morality is unknowable.

Yep, that's pretty much it. I'm not a Jew but I understand that this is the
Jewish way of thinking. However, the Jews believe that the Covenant between
YHWH and the Patriarchs (Abraham and Moses, in this case) establishes a Moral
Code to follow for mankind. Even the Jews could not decide where the boundaries
fall, though.

As I understand it, the Sadducees believed that the Torah was all that was
required, whereas the Pharisees (the ancestors of modern Judaism) believed that
the Torah was available for interpretation to lead to an understanding of
the required Morality in all its nuances (->Talmud).

The essence of all of this is that Biblical Morality is an interface between
Man and YHWH (for a Jew or Christian) and does not necessarily indicate
anything about YHWH outside of that relationship (although one can speculate).

>
>The first thing that comes to mind is that man is supposed to be created
>in His image, so there is an argument that we are committed to whatever
>moral code He follows as part of trying to live up to that image.  If we
>are supposed to live by Christ's example, you would be hard pressed to
>argue that God is a ""do what I say, not what I do"" kind of guy.

The trouble with all of this is that we don't really know what the ""created
in His image"" means. I've heard a number of different opinions on this and
have still not come to any conclusion. This rather upsets the Apple Cart if
one wants to base a Life Script on this shaky foundation (to mix metaphors
unashamedly!) As to living by Christ's example, we know very little about
Jesus as a person. We only have his recorded utterances in a set of narratives
by his followers, and some very small references from comtemporary historians.
Revelation aside, one can only ""know"" Christ second-hand or worse.

This is not an attempt to debunk Christianity (although it may seem that way
initially), the point I`m trying to make is that we only really have the Bible
to interpret, and that interpretation is by humanity. I guess this is where
Faith or Relevation comes in with all its inherent subjectiveness.

>
>Metaphysically, if there are multiple moral codes then there is no
>Absolute moral code, and I think this is theologically questionable.

No. There may be an absolute moral code. There are undoubtably multiple
moral codes. The multiple moral codes may be founded in the absolute moral
code. As an example, a parent may tell a child never to swear, and the child
may assume that the parent never swears simply because the parent has told
the child that it is ""wrong"". Now, the parent may swear like a trooper in
the pub or bar (where there are no children). The ""wrongness"" here is if
the child disobeys the parent. The parent may feel that it is ""inappropriate""
to swear in front of children but may be quite happy to swear in front of
animals. The analogy does not quite hold water because the child knows that
he is of the same type as the parent (and may be a parent later in life) but
you get the gist of it? Incidentally, the young child considers the directive
as absolute until he gets older (see Piaget) and learns a morality of his own.

David.

---
On religion:

""Oh, where is the sea?"", the fishes cried,
As they swam its clearness through.

",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/talk.religion.misc/83457,talk.religion.misc
"From: rodc@fc.hp.com (Rod Cerkoney)
Subject: *$G4qxF,fekVH6
Nntp-Posting-Host: hpfcmrc.fc.hp.com
Organization: Hewlett Packard, Fort Collins, CO
X-Newsreader: TIN [version 1.1 PL8.5]
Lines: 15



--


Regards,
Rod Cerkoney
                                                        /\
______________________________________________         /~~\
                                                      /    \
  Rod Cerkoney MS 37     email:                      /      \ 
  Hewlett Packard         rodc@fc.hp.com        /\  /        \  
  3404 East Harmony Rd.  Hpdesk:               /  \/          \    /\
  Fort Collins, CO 80525  HP4000/UX           /    \           \  /  \
_____________________________________________/      \           \/    \__
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/comp.sys.mac.hardware/51621,comp.sys.mac.hardware
"From: dbm0000@tm0006.lerc.nasa.gov (David B. Mckissock)
Subject: Re: Space Station Redesign, JSC Alternative #4
Organization: NASA Lewis Research Center / Cleveland, Ohio
Lines: 102
Distribution: world
NNTP-Posting-Host: tm0006.lerc.nasa.gov
News-Software: VAX/VMS VNEWS 1.41    

In article <1993Apr23.184732.1105@aio.jsc.nasa.gov>, kjenks@gothamcity.jsc.nasa.gov writes...

   {Description of ""External Tank"" option for SSF redesign deleted}

>Mark proposed this design at Joe Shea's committee in Crystal City,
>and he reports that he was warmly received.  However, the rumors
>I hear say that a design based on a wingless Space Shuttle Orbiter
>seems more likely.

Yo Ken, let's keep on-top of things! Both the ""External Tank"" and
""Wingless Orbiter"" options have been deleted from the SSF redesign
options list. Today's (4/23) edition of the New York Times reports
that O'Connor told the panel that some redesign proposals have
been dropped, such as using the ""giant external fuel tanks used
in launching space shuttles,"" and building a ""station around
an existing space shuttle with its wings and tail removed.""

Currently, there are three options being considered, as presented
to the advisory panel meeting yesterday (and as reported in
today's Times).

Option ""A"" - Low Cost Modular Approach
This option is being studied by a team from MSFC. {As an aside,
there are SSF redesign teams at MSFC, JSC, and LaRC supporting
the SRT (Station Redesign Team) in Crystal City. Both LeRC and
Reston folks are also on-site at these locations, helping the respective
teams with their redesign activities.} Key features of this
option are:
  -  Uses ""Bus-1"", a modular bus developed by Lockheed that's
     qualified for STS and ELV's. The bus provides propulsion, GN&C
     Communications, & Data Management. Lockheed developed this
     for the Air Force.
  -  A ""Power Station Capability"" is obtained in 3 Shuttle Flights.
     SSF Solar arrays are used to provide 20 kW of power. The vehicle
     flies in an ""arrow mode"" to optimize the microgravity environment.
     Shuttle/Spacelab missions would utilize the vehilce as a power
     source for 30 day missions.
  -  Human tended capability (as opposed to the old SSF sexist term
     of man-tended capability) is achieved by the addition of the
     US Common module. This is a modified version of the existing
     SSF Lab module (docking ports are added for the International
     Partners' labs, taking the place of the nodes on SSF). The
     Shuttle can be docked to the station for 60 day missions.
     The Orbiter would provide crew habitability & EVA capability.
  -  International Human Tended. Add the NASDA & ESA modules, and
     add another 20 kW of power
  -  Permanent Human Presence Capability. Add a 3rd power module,
     the U.S. habitation module, and an ACRV (Assured Crew Return
     Vehicle).

Option ""B"" - Space Station Freedom Derived
The Option ""B"" team is based at LaRC, and is lead by Mike Griffin.
This option looks alot like the existing SSF design, which we
have all come to know and love :)

This option assumes a lightweight external tank is available for
use on all SSF assembly flights (so does option ""A""). Also, the 
number of flights is computed for a 51.6 inclination orbit,
for both options ""A"" and ""B"".

The build-up occurs in six phases:
  -  Initial Research Capability reached after 3 flights. Power
     is transferred from the vehicle to the Orbiter/Spacelab, when
     it visits.
  -  Man-Tended Capability (Griffin has not yet adopted non-sexist
     language) is achieved after 8 flights. The U.S. Lab is
     deployed, and 1 solar power module provides 20 kW of power.
  -  Permanent Human Presence Capability occurs after 10 flights, by
     keeping one Orbiter on-orbit to use as an ACRV (so sometimes
     there would be two Orbiters on-orbit - the ACRV, and the
     second one that comes up for Logistics & Re-supply).
  -  A ""Two Fault Tolerance Capability"" is achieved after 14 flights,
     with the addition of a 2nd power module, another thermal
     control system radiator, and more propulsion modules.
  -  After 20 flights, the Internationals are on-board. More power,
     the Habitation module, and an ACRV are added to finish the
     assembly in 24 flights.

Most of the systems currently on SSF are used as-is in this option, 
with the exception of the data management system, which has major
changes.

Option C - Single Core Launch Station.
This is the JSC lead option. Basically, you take a 23 ft diameter
cylinder that's 92 ft long, slap 3 Space Shuttle Main Engines on
the backside, put a nose cone on the top, attached it to a 
regular shuttle external tank and a regular set of solid rocket
motors, and launch the can. Some key features are:
  - Complete end-to-end ground integration and checkout
  - 4 tangentially mounted fixed solar panels
  - body mounted radiators (which adds protection against
    micrometeroid & orbital debris)
  - 2 centerline docking ports (one on each end)
  - 7 berthing ports
  - a single pressurized volume, approximately 26,000 cubic feet
    (twice the volume of skylab).
  - 7 floors, center passageway between floors
  - 10 kW of housekeeping power
  - graceful degradation with failures (8 power channels, 4 thermal
    loops, dual environmental control & life support system)
  - increased crew time for utilization
  - 1 micro-g thru out the core module
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/sci.space/61165,sci.space
"From: jllee@acsu.buffalo.edu (Johnny L Lee)
Subject: RE:  == MOVING SALE ===
Summary: RE:  === MOVING SALE ===
Organization: UB
Lines: 44
Nntp-Posting-Host: lictor.acsu.buffalo.edu

Reduced Prices! 
I have a list of things forsale on behalf of my brother, who's moving (moved
already)

								Offer:
1) Black and Decker Duster Plus (Portable Hand Vaccum)	
 	purchased for $32, 					  $12

2) SR-1000 Dual Cassette Portable Player, AM/FM
5-Band graphics Equalizer, high speed dubing, Duo 
Tape.Tape deck A, seems to have lost treble sound. 
But, I bet  it's fixable.
	purchased for $80					  $25

3)Monolux Zoom MicroScope, up to 1200X magnification
Made in Japan, includes case and accessories
	purchased for $50					  $20

4)Sunbeam 1400 Hair Dryer, the dryer you put your 
head under/into. You know, the ones you see in the salons.
(Don't ask me why my bro had it)
	purchased for $60				          $24

5)Everylast Speed Bag, all leather. Brand new, never 
used								  $10

6)Osterizer Pusle Matic Blender, with 10 speeds 
and a cookbook, 5 years old					  $10
	purchased for $50

8)Binolux Binoculars . 7x35, extra wide angle
525ft. at 1000yds. with case. very new.		                  $20

9)Proctor and Silex Spray,Steam and Dry Iron.
very new.							  $10


Any questions, contact me thru e-mail and I will reply expeditously
And always, S+H are not included, so please consider this.

And lastly, I'm a very reasonable.Very Reasonable.

					Thanks,
						John
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/misc.forsale/76142,misc.forsale
"From: mathew <mathew@mantis.co.uk>
Subject: Re: <Political Atheists?
Organization: Mantis Consultants, Cambridge. UK.
X-Newsreader: rusnews v1.01
Lines: 22

kmr4@po.CWRU.edu (Keith M. Ryan) writes:
> ( I am almost sure that Zyklon-B is immediate and painless method of 
> death. If not, insert soem other form. )
> 
>         And, ethnic and minority groups have been killed, mutilated and 
> exterminated through out history, so I guess it was not unusual.
> 
>         So, you would agree that the holocost would be allowed under the US 
> Constitution?  [ in so far, the punishment. I doubt they recieved what would 
> be considered a ""fair"" trial by US standards.

Don't be so sure.  Look what happened to Japanese citizens in the US during
World War II.  If you're prepared to say ""Let's round these people up and
stick them in a concentration camp without trial"", it's only a short step to
gassing them without trial.  After all, it seems that the Nazis originally
only intended to imprison the Jews; the Final Solution was dreamt up partly
because they couldn't afford to run the camps because of the devastation
caused by Goering's Total War.  Those who weren't gassed generally died of
malnutrition or disease.


mathew
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/alt.atheism/51242,alt.atheism
"From: ab@nova.cc.purdue.edu (Allen B)
Subject: Re: TIFF: philosophical significance of 42
Organization: Purdue University
Lines: 39

In article <prestonm.735400848@cs.man.ac.uk> prestonm@cs.man.ac.uk (Martin  
Preston) writes:
> Why not use the PD C library for reading/writing TIFF files? It took me a
> good 20 minutes to start using them in your own app.

I certainly do use it whenever I have to do TIFF, and it usually works
very well.  That's not my point.  I'm >philosophically< opposed to it
because of its complexity.

This complexity has led to some programs' poor TIFF writers making
some very bizarre files, other programs' inability to load TIFF
images (though they'll save them, of course), and a general
inability to interchange images between different environments
despite the fact they all think they understand TIFF.

As the saying goes, ""It's not me I'm worried about- it's all the
>other<  assholes out there!""  I've had big trouble with misuse and
abuse of TIFF over the years, and I chalk it all up to the immense (and
unnecessary) complexity of the format.

In the words of the TIFF 5.0 spec, Appendix G, page G-1 (capitalized
emphasis mine):

""The only problem with this sort of success is that TIFF was designed
to be powerful and flexible, at the expense of simplicity.  It takes a
fair amount of effort to handle all the options currently defined in
this specification (PROBABLY NO APPLICATION DOES A COMPLETE JOB),
and that is currently the only way you can be >sure< that you will be
able to import any TIFF image, since there are so many
image-generating applications out there now.""


If a program (or worse all applications) can't read >every< TIFF
image, that means there are some it won't- some that I might have to
deal with.  Why would I want my images to be trapped in that format?  I
don't and neither should anyone who agrees with my reasoning- not
that anyone does, of course! :-)

ab
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/comp.graphics/38633,comp.graphics
"From: CPKJP@vm.cc.latech.edu (Kevin Parker)
Subject: Insurance Rates on Performance Cars SUMMARY
Organization: Louisiana Tech University
Lines: 244
NNTP-Posting-Host: vm.cc.latech.edu
X-Newsreader: NNR/VM S_1.3.2

     I recently posted an article asking what kind of rates single, male
drivers under 25 yrs old were paying on performance cars. Here's a summary of
the replies I received.
 
 
 
 
-------------------------------------------------------------------------------
 
I'm not under 25 anymore (but is 27 close enough).
 
1992 Dodge Stealth RT/Twin Turbo (300hp model).
No tickets, no accidents, own a house, have taken defensive driving 1,
airbag, abs, security alarm, single.
 
$1500/year  $500 decut. State Farm Insurance (this includes the additional $100
for the $1,000,000 umbrella policy over my car and house)  The base
policy is the standard $100,000 - $100,000 - $300,000 policy required in DE.
 
After 2nd defensive driving course it will be 5% less.
 
I bought the car in September 1992.  The company I was with (never had
and accident or ticket in 11 years) quoted me $2,500.
 
Hope this helps.
 
Steve Flynn
University of Delaware
======================================================================== 45
 
    Kevin:
 
    (Hope I remembered your name correctly)...
 
    You asked about insurance for performance cars.  Well, last year
    I was in a similar situation before I bought my car, and made the
    same inquiry as you.
 
    Age: 24 (then and now)
    Car: 1992 Eagle Talon TSi AWD
    Driving Record: Clean
    State: Illinois
    Cost: $820/6 mos.
 
    I turn 25 in May and the insurance goes down to $520/6 mos.
    Also, I'm single and that incurs a higher rate with my company.
 
    I've got a couple other friends w/ AWDs and they pay more
    than I do (different ins. companies also), so maybe I'm just lucky.
 
    Hope the info helps.
 
    Dan
    [dans@jdc.gss.mot.com]
    Motorola Cellular Subscriber Group
 
======================================================================== 38
 USA
Cc:
 
I'm 23; live in Norman, Oklahoma; drive an '89 Thunderbird SC; have
never made a claim against my insurance (though I have been hit
several times by negligent drivers who couldn't see stop signs or
were fiddling with their radios); and I have had three moving violations
in the last 18 months (one for going 85 in a 55; one for ""failure to
clear an intersection"" (I still say the damn light was yellow); and
one for going 35 in a 25 (which didn't go on my record)). My rates
from State Farm (with a passive restraint deduction) on liability,
$500 deductible comprehensive, and $500 deductible collision are
roughly $1300/year. (I was paying just over $1100/year for a '92 Escort LX.)
 
				James
 
James P. Callison    Microcomputer Coordinator, U of Oklahoma Law Center
Callison@uokmax.ecn.uoknor.edu   /\    Callison@aardvark.ucs.uoknor.edu
DISCLAIMER: I'm not an engineer, but I play one at work...
		The forecast calls for Thunder...'89 T-Bird SC
   ""It's a hell of a thing, killing a man. You take away all he has
	and all he's ever gonna have.""
			--Will Munny, ""Unforgiven""
======================================================================== 61
 
I am beyond the ""under 25"" age group, but I have an experience a few
years ago that might be interesting to you.  I owned a 1985 Toyota Celica
GT.  I decided to buy myself a gift - a more exotic car.  Front runners
included the Toyota Supra Turbo and the Porsche 924 (1987 model years).
I narrowed it down to those two.  I liked the simplicity and handling
(and snob appeal, too) of driving a Porsche.  The Supra Turbo was less
money and had more features and performance - almost a personal luxury
car.  It had better acceleration and a higher top speed than the 924.
I was almost ready to give in to a buying impulse for the 924, but i
decided to stop by my insurance agent's office on the way.  I asked
about what would happen to my rate with either car.
 
""If you buy the Supra, your rate classification will be the same as
the Celica (the '85 Celica was considered a subcompact and for that
year was rated as one of the safest cars), with a slight increase because
the car will be 2 years newer.  Our lower-risk division will continue
to handle your account.
 
""If you buy the Porsche 924, we'll have to change you to the standard
[higher] rate company and your rate will double.  And if you go with
a 944, it's another story again - we'll cover the rest of this year,
but cancel you after that.""
 
""But the Supra is much faster than the 924, and the 924 is actually
faster than the [standard] 944.  That doens't make sense.""
 
 That's what the book says.  We don't insure Corvettes, either.  For
some reason, the underwriters consider Supras - and their drivers -
as very traditional and conservative.""
 
I eventually went with the Supra for a number of reasons.  The Porsche
dealer had a nice salesman to get me interested, but a tough high-pressure
guy in the back room.  At equal monthly payments, it would have taken
a year longer to pay for the Porsche, plus its higher insurance.  I
concluded that the high insurance was related to probability of auto
theft.
 
   /|/| /||)|/  /~ /\| |\|)[~|)/~   |   Everyone's entitled to MY opinion.
  / | |/ ||\|\  \_|\/|_|/|)[_|\\_|  |      goldberg@oasys.dt.navy.mil
========Imagination is more important than knowledge. - Albert Einstein=======
 
 
 
 
 
======================================================================== 32
 
I live in Idaho.  When I was <26 many years ago (10 years) I bought a Trans
Am (new).  Insurance was about $1300/year.  When I turned 26, it immediately
dropped to $460/year.  I had not had any accidents before or after, this was
strictly an age change.  That same rate stayed pretty much the same until I
sold the car 2 years ago.  My F-150 pickup is about $80/year less.
 
The real amazing thing is that when I woke up at age 25, I felt SO MUCH MORE
RESPONSIBLE than I was before...  :-)
 
Wes
 
======================================================================== 21
 
 
For your information:
California
Male, single, under 25 , No moving violation
Alfa Spider
     =======> $2000 / year
 
What a bargain!!!
======================================================================== 28
 
Let's see, I'm 24, single, male, clean driving record. I have a 92 VW COrrado
VR6. I live in San Jose, California. I pay ~1500$ a year through Allstate. A
good deal if you ask me.
 
I was thinking about getting a Talon, but I think the insurance is higher
for a ""turbo"" sports car vs a V6
 
-W
 
======================================================================== 27
 
1986 Honda CRX Si, clean record, in a small New Mexico town was around $800
per year, age 24.
 
Nearby city rates were 1.5X-2X higher than where I've got mine insured.
 
..robert
--
Robert Stack / Institute of Transportation Studies, Univ of California-Irvine
               stack@translab.its.uci.edu   '92 Mazda Protege LX
======================================================================== 37
1300 per year, 1992 Saturn SC, 21 Years old, State: New Mexico,
Insurance: State Farm.
 
 
======================================================================== 64
 
 
Here is my info:
 
Car             : '89 Toyota Celica ST
Insurance Co    : Farmer's Insurance
Yearly insurance: $2028
Age             : 24
Date of license : Oct 14, 1992
Residence       : Mountain View, California
No moving violations (for now atleast ;-)
 
Hope this helps. Please post a summary if possible.
 
Vijay
**********************************************************************
Vijay Anisetti
Email: anisetti@informix.com   Apt: (415)962-0320   Off: (415)926-6547
======================================================================== 38
Single, 24 years old, Eagle Talon Turbo AWD, $1200 (full-cover, reasonable
 liability)
No tickets, No violations, No accidents... (knock on wood...)
Mass,
 
	One thing that makes a HUGE difference in MASS is the town you live in.
I'm personally in one of the best towns within reasonable distance
of Boston.  If I moved to the absolute best it would go down to about
$1150, if I moved to the worst it would be $2000+..
 
	Also one accident and a couple of tickets, would probably add another $600...
 
 
	_RV
 
 
======================================================================== 43
I have a 1990 Mitsubishi eclipse turbo awd, am 23 years old and have no
tickets that went on my record.  I live in Illinois just outside of Chicago
and pay $1560 a year with full coverage at State Farm.  I did get a small
discount because of my alarm system($30 a year).  I only live 15 miles from
Chicago but if I actually lived in the city the price would be about $2000
a year.
======================================================================== 41
I'm over 25, but in case you're interested anyway, I'm insuring a 93 SHO
for $287/6 month.  Thats 100k personal+300k total+100k property with
250 deductible, glass and towing, State Farm.
 
======================================================================== 39
 
Unless you are under 20 or have been driving for less than 5
years, I think you are being seriously ripped off.  I don't have
one of the performance cars you listed, but if your record is
clean, then you should not be paying over $2K.
 
Did you try calling all the insurance dealers you could find?
Although rates are supposed to be standardized, I've found that
most places I initially call, give me some ridiculously high
quote and *finaly*, I hit one that is much lower.
 
Also, I have changed insurance companies when the rate went up at
renewal (no accidents, tickets, car gets older??) to maintain a low
rate.  You always have to be careful when it comes to insurance
companies 8^).
 
Good luck,
Serge
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/rec.autos/102812,rec.autos
"From: ritley@uimrl7.mrl.uiuc.edu ()
Subject: SEEKING THERMOCOUPLE AMPLIFIER CIRCUIT
Reply-To: ritley@uiucmrl.bitnet ()
Organization: Materials Research Lab
Lines: 17



I would like to be able to amplify a voltage signal which is
output from a thermocouple, preferably by a factor of
100 or 1000 ---- so that the resulting voltage can be fed
more easily into a personal-computer-based ADC data
acquisition card.

Might anyone be able to point me to references to such
circuits?  I have seen simple amplifier circuits before, but
I am not sure how well they work in practice.

In this case, I'd like something which will amplify sufficiently
""nicely"" to be used for thermocouples (say, a few degrees
accuracy or better).

Any pointers would be greatly appreciated!
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/sci.electronics/52816,sci.electronics
"From: abarden@tybse1.uucp (Ann Marie Barden)
Subject: X-Terminal Config. file question
Organization: Tybrin Corporation, Shalimar, FL
Distribution: usa
Lines: 19

  QUESTION:
  What is the EXACT entry (parameter and syntax please), in the X-Terminal
configuration file (loaded when the X-Terminal boots), to add another system 
to the TCP/IP access control list?   

  BACKGROUND:
  I have two unix systems, 1. an AT&T 3B2 running X11R3 and MIT's X11R4 and 
2. a Sun SS10 without any X.  
  I want to have a window to the Sun and the 3B2 on the NCD X-Terminal at the
same time.  I can do this if I manually set the Network Parameter TCP/IP
Access Control List to off, then login to my telnet session. Not Great!  
  I've tried to get ""xhost"" to work and failed.  Either my syntax is wrong
or the X11R3 implementation is bogus.  
  I am trying to edit the NCD configuration file that is loaded when the 
NCD boots.  No matter what entry I add or edit, the NCD still boots with
the TCP/IP Access Control list containing only the 3B2.
  My manuals are worthless so any help would be most appreciated!!  Thanks!

Ann Marie Barden  	abarden@afseo.eglin.af.mil
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/comp.windows.x/67212,comp.windows.x
"From: keith@cco.caltech.edu (Keith Allan Schneider)
Subject: Re: <<Pompous ass
Organization: California Institute of Technology, Pasadena
Lines: 16
NNTP-Posting-Host: punisher.caltech.edu

livesey@solntze.wpd.sgi.com (Jon Livesey) writes:

[...]
>>The ""`little' things"" above were in reference to Germany, clearly.  People
>>said that there were similar things in Germany, but no one could name any.
>That's not true.  I gave you two examples.  One was the rather
>pevasive anti-semitism in German Christianity well before Hitler
>arrived.  The other was the system of social ranks that were used
>in Imperail Germany and Austria to distinguish Jews from the rest 
>of the population.

These don't seem like ""little things"" to me.  At least, they are orders
worse than the motto.  Do you think that the motto is a ""little thing""
that will lead to worse things?

keith
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/alt.atheism/53216,alt.atheism
"From: leunggm@odin.control.utoronto.ca (Gary Leung)
Subject: Re: NHL Team Captains
Organization: University of Toronto, Systems Control Group
Lines: 20

In article <1993Apr20.151818.4319@samba.oit.unc.edu> Scott.Marks@launchpad.unc.edu (Scott Marks) writes:
>>And of course, Mike Ramsey was (at one time) the captain in Buffalo prior to
>>being traded to Pittsburgh.  Currently, the Penguins have 3 former captains
>>and 1 real captain (Lemieux) playing for them.  They rotate the A's during the
>>season (and even the C while Mario was out).  Even Troy Loney has worn the C
>>for the Pens.
>

I think that Mike Foligno was the captain of the Sabres when he
got traded to the Leafs. Also, wasn't Rick Vaive the captain of
the Leafs when he got traded to Chicago (with Steve Thomas for
Ed Olcyzk and someone). Speaking of the Leafs, I believe that
Darryl Sittler was their captain (he'd torn the ""C"" off his
jersey but I think he re-claimed the captaincy later on) when he
was traded to the Flyers.

Oh yeah, of course, Gretzky was the captain of the Oilers before
he was traded wasn't he? 

Gary
",/home/bchee1/scikit_learn_data/20news_home/20news-bydate-train/rec.sport.hockey/53747,rec.sport.hockey
